Info 0    [19:57:55.864] Starting TS Server
Info 1    [19:57:55.865] Version: 4.5.4
Info 2    [19:57:55.865] Arguments: /Users/samuelbanya/.nvm/versions/node/v16.14.2/bin/node /usr/local/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/samuelbanya/hub/Development/code/phase-1/phase-1-lecture-videos-inheritance/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/g1/tzqw879134sg6jrks5nf5nhm0000gn/T/a130f3aed76d2614ee97b53d07f56b14/tscancellation*
Info 3    [19:57:55.865] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [19:57:55.865] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [19:57:55.880] Format host information updated
Info 6    [19:57:55.882] Search path: /Users/samuelbanya/hub/Development/code/phase-1/phase-1-lecture-videos-inheritance
Info 7    [19:57:55.883] For info: /Users/samuelbanya/hub/Development/code/phase-1/phase-1-lecture-videos-inheritance/index.js :: No config files found.
Info 8    [19:57:55.888] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [19:57:56.390] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 501.24915599823ms
Info 10   [19:57:56.390] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [19:57:56.390] 	Files (19)

Info 12   [19:57:56.390] -----------------------------------------------
Info 13   [19:58:39.503] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [19:58:39.519] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 15.977113999426365ms
Info 15   [19:58:39.519] Different program with same set of files
Info 16   [19:58:50.215] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [19:58:50.220] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 4.381207000464201ms
Info 18   [19:58:50.220] Different program with same set of files
Info 19   [19:58:50.236] getCompletionData: Get current token: 0.017354000359773636
Info 20   [19:58:50.236] getCompletionData: Is inside comment: 0.052195001393556595
Info 21   [19:58:50.236] getCompletionData: Get previous token: 0.05070500075817108
Info 22   [19:58:50.236] getCompletionsAtPosition: isCompletionListBlocker: 0.23683799803256989
Info 23   [19:58:50.240] getExportInfoMap: cache miss or empty; calculating new results
Info 24   [19:58:50.240] getExportInfoMap: done in 0.7108459994196892 ms
Info 25   [19:58:50.241] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 26   [19:58:50.241] collectAutoImports: response is complete
Info 27   [19:58:50.241] collectAutoImports: 0.11980000138282776
Info 28   [19:58:50.241] getCompletionData: Semantic work: 4.5532569997012615
Info 29   [19:58:50.259] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 17.21687299758196
Info 30   [19:58:50.265] getCompletionData: Get current token: 0.009312998503446579
Info 31   [19:58:50.266] getCompletionData: Is inside comment: 0.03236299753189087
Info 32   [19:58:50.266] getCompletionData: Get previous token: 0.04175199940800667
Info 33   [19:58:50.266] getCompletionsAtPosition: isCompletionListBlocker: 0.020403999835252762
Info 34   [19:58:50.267] getExportInfoMap: cache miss or empty; calculating new results
Info 35   [19:58:50.268] getExportInfoMap: done in 0.32366500049829483 ms
Info 36   [19:58:50.268] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 37   [19:58:50.268] collectAutoImports: response is complete
Info 38   [19:58:50.268] collectAutoImports: 0.04101499915122986
Info 39   [19:58:50.268] getCompletionData: Semantic work: 2.1505659967660904
Info 40   [19:58:50.278] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.363045997917652
Info 41   [19:58:50.283] getCompletionData: Get current token: 0.01149500161409378
Info 42   [19:58:50.284] getCompletionData: Is inside comment: 0.03317800164222717
Info 43   [19:58:50.284] getCompletionData: Get previous token: 0.03250100091099739
Info 44   [19:58:50.284] getCompletionsAtPosition: isCompletionListBlocker: 0.024868998676538467
Info 45   [19:58:50.286] getExportInfoMap: cache miss or empty; calculating new results
Info 46   [19:58:50.287] getExportInfoMap: done in 0.369803000241518 ms
Info 47   [19:58:50.287] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 48   [19:58:50.287] collectAutoImports: response is complete
Info 49   [19:58:50.287] collectAutoImports: 0.037073999643325806
Info 50   [19:58:50.287] getCompletionData: Semantic work: 2.935010001063347
Info 51   [19:58:50.299] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.658854000270367
Info 52   [19:58:50.303] getCompletionData: Get current token: 0.01377899944782257
Info 53   [19:58:50.303] getCompletionData: Is inside comment: 0.026197999715805054
Info 54   [19:58:50.303] getCompletionData: Get previous token: 0.03869599848985672
Info 55   [19:58:50.303] getCompletionsAtPosition: isCompletionListBlocker: 0.012119997292757034
Info 56   [19:58:50.305] getExportInfoMap: cache miss or empty; calculating new results
Info 57   [19:58:50.306] getExportInfoMap: done in 0.45589999854564667 ms
Info 58   [19:58:50.306] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 59   [19:58:50.306] collectAutoImports: response is complete
Info 60   [19:58:50.306] collectAutoImports: 0.03953499719500542
Info 61   [19:58:50.306] getCompletionData: Semantic work: 2.2048190012574196
Info 62   [19:58:50.312] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.763911999762058
Info 63   [19:58:50.323] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 64   [19:58:50.326] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 3.1472600027918816ms
Info 65   [19:58:50.326] Different program with same set of files
Info 66   [19:58:50.873] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 67   [19:58:50.878] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 4.886119000613689ms
Info 68   [19:58:50.878] Different program with same set of files
Info 69   [19:58:54.009] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 70   [19:58:54.013] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 3.7060170024633408ms
Info 71   [19:58:54.013] Different program with same set of files
Info 72   [19:58:54.338] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
